"fazenda";"talhao";"area";"matgen";"idade";"parcela";"areaparc";"nfustes";"percfalhas";"percmortas";"percquebradas";"hdom";"areabasal";"ima";"vcomcc";"vcomsc";"vtsc";"vtcc"
1;19;99,5;8;5,49;221;400;1325;0;0;0;23,63;21,83;39,16;188,56;170,74;190,59;215,2
1;19;99,5;8;5,49;222;400;1350;0;5,56;0;23,9;21,41;39,04;186,65;170,64;189,96;214,49
1;47;26,63;8;5,55;223;400;1225;9,43;5,66;0;22,35;19,65;35,41;172,83;150,53;172,43;196,62
1;47;26,63;8;5,55;224;400;1250;5,88;3,92;0;23,38;19,23;35,42;169,93;153,67;172,46;196,66
1;11;70,77;8;5,45;226;400;1375;7,27;1,82;0;25,58;20,95;40,01;190,04;173,95;192,96;217,88
1;11;70,77;8;5,45;227;400;1325;5,56;0;0;26,52;24,25;47,64;232,33;208,26;229,76;259,43
1;11;70,77;8;5,45;228;400;1350;1,82;0;0;26,08;22,93;45,12;218,04;198,39;217,59;245,69
1;11;70,77;8;5,45;230;400;1175;4,08;0;0;26,15;21,32;42,23;206,69;186,46;203,65;229,95
1;11;70,77;8;5,45;231;400;1400;1,82;7,27;0;23,88;18,77;33,64;152,24;139,38;162,23;183,18
1;54;104,12;8;4,55;233;400;1025;8,89;0;0;23,05;16,93;36,3;146,83;123,52;143,68;165,19
1;54;104,12;8;4,55;236;400;1125;6,38;0;0;23,23;18,19;38,66;155,25;131;153;175,91
1;33;36,56;8;4,53;241;400;1075;4,55;0;0;21,83;20,14;41,81;170,5;142,25;164,59;189,23
1;31;88,22;8;4,51;243;400;1075;8,7;0;0;20,6;16,87;32,32;124,64;111,44;126,9;145,9
1;31;88,22;8;4,51;244;400;825;25;0;0;20,98;12,29;22,55;86,95;76,19;88,53;101,79
1;31;88,22;8;4,51;245;400;1150;0;0;0;20,85;17,59;33,95;131,16;115,77;133,33;153,29
1;31;88,22;8;4,51;246;400;975;9,3;0;0;20,43;15,67;30,31;117,55;105,81;119,02;136,84
1;25;84,97;8;4,55;248;400;1175;4,08;2,04;0;22,32;17,48;35,5;138,96;118,59;140,58;161,63
1;25;84,97;8;4,55;249;400;1175;6,67;0;0;21,88;18,01;36,32;142,38;123,31;143,82;165,36
1;25;84,97;8;4,55;251;400;1000;2,44;0;0;19,9;14,62;27,09;104,44;95,79;107,28;123,34
1;51;102,69;9;5,74;254;400;1050;0;0;0;25,6;24,41;49,48;263,94;233,09;248,98;283,92
1;51;102,69;9;5,74;255;400;1100;0;4,55;0;25,52;22;43,63;228,07;202,5;219,59;250,4
